Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Place of study
9,64,No,6,1,57,Library
2,81,No,5,2,58,Library
8,42,Yes,9,8,38,Library
2,42,No,8,9,22,Library
5,59,Yes,8,6,48,Library
7,67,Yes,5,0,59,Library
8,62,Yes,6,2,58,Library
1,87,Yes,9,8,62,Library
6,42,No,4,6,30,Library
1,81,Yes,6,1,56,Library
2,63,Yes,7,5,40,Library
1,82,No,5,8,59,Library
5,79,Yes,7,3,65,Library
9,45,No,5,9,43,Library
6,59,Yes,4,1,48,Library
1,50,Yes,6,2,24,Library
1,71,Yes,9,6,51,Library
2,99,Yes,6,3,81,Library
9,66,No,5,6,62,Library
3,60,Yes,8,4,43,Library
1,83,No,7,7,63,Library
5,87,No,9,7,73,Library
7,89,No,9,4,76,Library
6,52,Yes,6,6,43,Library
1,61,No,6,5,34,Library
5,74,No,5,7,57,Library
5,86,No,8,8,72,Library
6,61,Yes,7,4,47,Library
3,67,Yes,8,6,52,Library
5,60,No,9,0,49,Library
7,85,No,8,7,77,Library
5,57,Yes,5,2,41,Library
5,70,No,8,0,56,Library
5,99,No,7,5,89,Library
3,85,No,9,7,65,Library
1,76,Yes,4,2,49,Library
5,60,No,9,0,48,Library
9,53,No,4,2,47,Library
1,64,Yes,7,4,37,Library
3,66,No,9,7,48,Library
4,79,Yes,9,8,61,Library
1,99,Yes,9,8,77,Library
1,99,Yes,9,3,75,Library
8,62,No,5,7,57,Library
2,70,No,6,4,45,Library
8,86,No,9,2,82,Library
7,99,No,5,4,90,Library
2,68,No,7,1,42,Library
6,86,No,9,5,74,Library
6,69,No,8,0,60,Library
3,90,No,9,5,73,Library
2,65,Yes,9,4,40,Library
1,59,No,4,8,32,Library
6,77,No,8,6,67,Library
5,58,Yes,9,5,46,Library
9,66,No,9,6,65,Library
1,64,Yes,9,9,42,Library
7,79,No,5,4,69,Library
5,77,No,7,0,62,Library
5,91,Yes,4,8,75,Library
2,62,Yes,9,4,40,Library
3,68,No,7,3,43,Library
7,54,Yes,4,5,42,Library
6,98,No,4,4,84,Library
2,42,No,4,0,15,Library
6,49,No,9,1,39,Library
2,54,No,5,3,26,Library
2,95,No,9,7,73,Library
2,55,No,9,4,34,Library
3,56,Yes,7,6,34,Library
2,58,Yes,6,1,37,Library
4,50,Yes,6,7,34,Library
9,87,No,6,4,85,Library
6,44,Yes,7,3,31,Library
1,44,No,8,8,18,Library
8,97,Yes,7,5,92,Library
7,53,No,4,3,44,Library
3,89,No,9,7,72,Library
1,65,No,8,2,40,Library
5,47,No,4,9,31,Library
4,44,No,9,1,25,Library
8,46,Yes,9,6,44,Library
1,55,No,4,3,27,Library
1,94,Yes,7,3,66,Library
4,53,No,6,9,34,Library
8,76,No,8,8,70,Library
5,95,No,9,1,81,Library
2,80,Yes,5,0,56,Library
6,43,No,9,6,30,Library
5,75,Yes,6,7,60,Library
2,87,No,9,2,64,Library
3,95,Yes,5,1,74,Library
9,56,Yes,7,3,52,Library
7,86,Yes,9,1,84,Library
7,75,No,8,1,66,Library
6,45,No,7,4,32,Library
8,55,Yes,5,9,47,Library
4,68,No,4,4,51,Library
8,75,No,9,7,67,Library
4,77,No,7,8,57,Library
8,76,Yes,9,1,71,Library
9,87,Yes,8,0,86,Library
3,96,No,9,2,77,Library
3,87,Yes,7,5,72,Library
2,49,No,6,4,24,Library
3,80,No,7,7,60,Library
3,75,Yes,5,7,55,Library
5,68,Yes,7,1,54,Library
5,53,No,8,8,39,Library
2,43,No,7,3,19,Library
6,83,No,7,0,68,Library
5,95,Yes,8,1,83,Library
6,81,Yes,7,5,72,Library
1,75,No,8,4,49,Library
5,89,No,5,6,74,Library
9,84,Yes,8,8,86,Library
2,52,No,5,5,26,Library
1,85,Yes,5,5,60,Library
9,57,Yes,8,1,54,Library
9,72,No,7,6,73,Library
9,60,No,9,1,61,Library
6,55,Yes,6,6,45,Library
8,54,No,9,7,57,Library
1,93,Yes,8,0,68,Library
4,96,Yes,7,8,72,Library
1,44,Yes,5,7,17,Library
8,45,No,4,8,37,Library
1,77,No,6,4,54,Library
3,42,No,9,3,22,Library
4,87,Yes,7,0,73,Library
8,51,Yes,6,8,47,Library
6,75,Yes,4,3,63,Library
7,72,Yes,4,3,63,Library
8,75,No,4,3,68,Library
2,72,No,9,1,52,Library
8,70,No,8,3,64,Library
3,60,Yes,6,1,38,Library
7,66,Yes,8,7,60,Library
3,66,No,4,6,45,Library
7,47,Yes,7,9,39,Library
2,95,No,4,1,75,Library
6,76,Yes,8,1,67,Library
3,71,Yes,4,1,48,Library
3,65,Yes,4,0,44,Library
9,41,Yes,8,5,37,Library
7,51,Yes,8,5,41,Library
5,61,No,7,0,47,Library
7,56,No,8,0,45,Library
9,46,No,7,5,43,Library
1,82,Yes,5,5,54,Library
7,43,No,5,3,32,Library
6,76,No,8,2,64,Library
9,77,Yes,4,8,74,Library
1,71,Yes,6,5,50,Library
4,50,No,4,0,33,Library
9,40,No,8,2,36,Library
4,64,No,7,0,45,Library
3,81,No,4,2,58,Library
9,91,No,5,1,85,Library
2,63,Yes,9,4,41,Library
4,92,No,8,2,78,Library
6,82,No,4,6,63,Library
2,95,No,9,7,76,Library
8,56,No,4,6,51,Library
8,47,No,7,1,36,Library
1,98,No,7,9,74,Library
3,84,Yes,7,9,65,Library
9,66,Yes,9,6,65,Library
5,91,Yes,6,9,79,Library
6,57,No,9,2,46,Library
4,66,No,8,6,47,Library
2,61,Yes,8,0,42,Library
8,55,No,5,1,46,Library
6,41,No,5,9,34,Library
5,44,No,8,0,27,Library
9,57,Yes,4,8,52,Library
1,42,Yes,8,1,17,Library
5,66,Yes,6,1,53,Library
6,93,No,5,5,84,Library
5,56,Yes,5,6,39,Library
6,55,Yes,9,1,44,Library
6,45,Yes,5,3,36,Library
7,90,No,8,2,81,Library
4,46,Yes,5,4,30,Library
8,89,Yes,5,8,80,Library
7,53,No,9,1,41,Library
9,77,Yes,8,4,77,Library
7,79,No,4,7,69,Library
3,54,No,5,5,34,Library
3,86,Yes,5,3,64,Library
8,86,Yes,5,9,78,Library
5,87,Yes,6,7,74,Library
4,72,No,8,2,52,Library
8,82,Yes,5,3,76,Library
6,66,Yes,6,8,53,Library
2,68,Yes,4,4,46,Library
4,96,No,4,5,77,Library
4,76,No,9,1,59,Library
6,44,No,9,8,35,Library
6,68,Yes,9,7,61,Library
1,71,Yes,6,6,46,Library
8,99,No,4,8,97,Library
6,92,Yes,9,4,86,Library
3,45,Yes,7,4,24,Library
9,41,No,9,8,37,Library
2,45,No,4,4,18,Library
8,85,No,7,8,84,Library
3,82,Yes,6,0,59,Library
5,43,Yes,7,9,29,Library
6,95,Yes,4,9,84,Library
6,68,No,5,7,60,Library
4,98,No,7,2,78,Library
3,64,Yes,4,7,46,Library
4,48,No,9,4,31,Library
1,95,No,5,1,68,Library
4,42,Yes,6,8,25,Library
1,65,No,6,3,37,Library
1,87,Yes,8,6,62,Library
6,82,No,6,7,69,Library
5,66,Yes,8,6,50,Library
4,75,No,6,5,55,Library
3,71,Yes,6,6,54,Library
1,40,No,6,3,12,Library
6,96,No,8,9,88,Library
2,92,No,9,0,69,Library
8,93,No,8,4,88,Library
5,55,No,7,7,41,Library
7,90,Yes,4,9,83,Library
2,87,Yes,4,5,62,Library
8,50,Yes,9,4,45,Library
2,65,No,4,1,42,Library
4,79,Yes,6,9,65,Library
1,94,No,9,4,73,Library
5,40,No,4,9,23,Library
9,65,Yes,8,2,61,Library
1,67,Yes,7,1,41,Library
9,92,No,5,2,85,Library
8,97,No,7,3,93,Library
6,48,Yes,4,1,35,Library
7,99,Yes,9,3,92,Library
3,98,No,4,3,79,Library
1,83,No,8,5,57,Library
5,61,Yes,7,4,49,Library
2,47,No,8,6,28,Library
5,97,No,8,6,85,Library
8,88,Yes,5,2,82,Library
9,81,Yes,8,8,80,Library
2,66,No,8,6,41,Library
3,78,No,5,6,57,Library
3,58,Yes,6,1,41,Library
1,64,No,6,9,43,Library
8,77,Yes,9,2,73,Library
6,60,No,5,2,46,Library
8,63,Yes,9,5,61,Library
9,63,No,9,3,61,Library
5,99,No,8,3,87,Library
3,99,No,9,0,78,Library
5,58,Yes,4,5,43,Library
5,89,Yes,7,7,75,Library
5,86,Yes,4,7,72,Library
3,41,No,4,7,18,Library
4,53,No,8,4,36,Library
9,92,Yes,7,9,92,Library
9,71,Yes,9,5,71,Library
2,81,No,7,4,58,Library
8,71,No,9,3,69,Library
8,67,No,6,3,58,Library
7,87,No,5,3,74,Library
8,78,Yes,8,3,72,Library
3,79,Yes,9,5,61,Library
6,81,No,9,5,74,Library
1,86,No,7,4,60,Library
7,79,No,8,8,70,Library
1,52,Yes,9,7,27,Library
9,51,Yes,6,9,49,Library
1,47,No,4,5,17,Library
1,54,No,9,8,34,Library
7,65,No,7,4,51,Library
2,51,No,6,9,27,Library
5,82,No,8,3,67,Library
8,90,No,9,5,84,Library
8,85,Yes,6,3,81,Library
3,66,Yes,6,7,45,Library
7,57,Yes,6,6,50,Library
3,84,No,6,4,67,Library
6,75,No,6,9,67,Library
6,88,No,6,5,77,Library
3,90,Yes,5,6,70,Library
7,66,No,8,1,59,Library
3,48,Yes,4,8,27,Library
8,94,No,8,6,88,Library
4,78,No,7,7,60,Library
1,40,No,7,4,14,Library
4,46,Yes,8,2,27,Library
7,65,Yes,6,1,54,Library
4,46,Yes,5,1,32,Library
6,91,No,4,2,79,Library
9,46,Yes,9,0,44,Library
1,47,No,9,0,20,Library
5,55,No,6,6,42,Library
7,42,Yes,8,9,33,Library
1,84,Yes,9,7,58,Library
4,49,No,8,5,31,Library
6,89,No,5,6,75,Library
2,46,No,5,0,22,Library
5,60,No,8,0,46,Library
